mount_type,wood_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,115,120,130,140,150,160
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,15.91,13.18,8.64,5.04,2.13,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,11.44,8.96,4.85,1.59,0,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,7.08,4.86,1.16,0,0,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",8,15.67,14.39,12.26,10.57,9.21,8.1
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",10,15.67,14.39,12.26,10.57,9.21,8.1
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",12,15.67,14.39,12.25,10.02,8.12,6.57
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",14,12.82,11.32,8.83,6.85,5.27,3.95
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",16,9.17,7.91,5.81,4.14,2.8,1.69
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",18,6.15,5.08,3.27,1.84,0.69,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"5"" x 5-1/2""",20,1.27,0,0,0,0,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",8,33.85,31.09,26.49,22.84,19.9,17.49
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",10,33.85,31.09,26.49,22.84,19.9,17.49
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",12,33.85,31.09,26.49,22.84,19.9,17.26
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",14,31.1,27.97,22.74,18.58,15.23,12.48
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",16,24.27,21.59,17.14,13.6,10.75,8.42
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",18,18.69,16.39,12.54,9.5,7.04,5.03
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",20,14.01,12,8.65,6,3.86,2.1
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",22,10,8.22,5.27,2.93,1.06,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",24,6.64,5.06,2.42,0,0,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",26,3.44,2.03,0,0,0,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"6-3/4"" x 6-3/4""",28,0.69,0,0,0,0,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",8,64.38,59.14,50.39,43.45,37.85,33.27
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",10,64.38,59.14,50.39,43.45,37.85,33.27
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",12,64.38,59.14,50.39,43.45,37.85,33.27
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",14,63.22,57.46,47.89,40.03,33.65,28.42
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",16,51.64,46.55,38.08,31.34,25.91,21.47
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",18,41.87,37.47,30.13,24.31,19.61,15.77
